Symbol,Company,Market,Industry,Sector,Auditor,Auditor_Original,Audit_fee,Audit_fee(Sub),Other_fee,Other_fee(Sub),Totat_audit_fee,Totat_other_fee,รวมสินทรัพย์,รายได้จากการดำเนินงาน
2S,บริษัท 2 เอส เมทัล จำกัด (มหาชน),SET,สินค้าอุตสาหกรรม,เหล็ก และ ผลิตภัณฑ์โลหะ,BDO AUDIT COMPANY LIMITED,บริษัท บีดีโอ ออดิท จำกัด,"1,800,000.00","480,000.00","363,701.44","27,740.00","2,280,000.00","391,441.44","2,380,000,000.00","7,540,000,000.00"
3BBIF,กองทุนรวมโครงสร้างพื้นฐานบรอดแบนด์อินเทอร์เน็ต สามบีบี,SET,เทคโนโลยี,เทคโนโลยีสารสนเทศและการสื่อสาร,KPMG PHOOMCHAI AUDIT LIMITED,บริษัท เคพีเอ็มจี ภูมิไชย สอบบัญชี จำกัด,"1,709,000.00",,0,,"1,709,000.00",0,,
88TH,บริษัท 88(ไทยแลนด์) จำกัด (มหาชน),mai,สินค้าอุปโภคบริโภค,-,EY OFFICE LIMITED,บริษัท สำนักงาน อีวาย จำกัด,"2,350,000.00",,0,,"2,350,000.00",0,"555,000,000.00","658,000,000.00"
A,บริษัท อารียา พรอพเพอร์ตี้ จำกัด (มหาชน),SET,อสังหาริมทรัพย์และก่อสร้าง,พัฒนาอสังหาริมทรัพย์,"DHARMNITI AUDITING CO., LTD.",N/A,,,,,,,"14,100,000,000.00","672,000,000.00"
A5,บริษัท แอสเซท ไฟว์ กรุ๊ป จำกัด (มหาชน),SET,อสังหาริมทรัพย์และก่อสร้าง,พัฒนาอสังหาริมทรัพย์,"D I A INTERNATIONAL AUDIT CO.,LTD.",บริษัท สอบบัญชี ดี ไอ เอ อินเตอร์เนชั่นแนล จำกัด,"2,415,000",,0,,"2,415,000",0,"3,700,000,000.00","1,310,000,000.00"
AAI,บริษัท เอเชี่ยน อะไลอันซ์ อินเตอร์เนชั่นแนล จำกัด (มหาชน),SET,เกษตรและอุตสาหกรรมอาหาร,อาหารและเครื่องดื่ม,EY OFFICE LIMITED,บริษัท สำนักงาน อีวาย จำกัด,"2,140,000.00",,"80,000.00",,"2,140,000.00","80,000.00","5,590,000,000.00","7,000,000,000.00"
AAV,บริษัท เอเชีย เอวิเอชั่น จำกัด (มหาชน),SET,บริการ,ขนส่งและโลจิสติกส์,BDO AUDIT COMPANY LIMITED,บริษัท บีดี้โอ ออดิท จำกัด,900000,3750000,,,4650000,,"76,300,000,000.00","45,700,000,000.00"
ABM,บริษัท เอเชีย ไบโอแมส จำกัด (มหาชน),mai,ทรัพยากร,-,A&A OFFICE COMPANY LIMITED,บริษัท สำนักงาน เอ แอนด์ เอ จำกัด,"1,450,000.00","1,227,000.00",0,0,"2,677,000.00",0,"1,460,000,000.00","2,030,000,000.00"
ACAP,บริษัท เอเชีย แคปปิตอล กรุ๊ป จำกัด (มหาชน),mai,ธุรกิจการเงิน,-,"SAMNAK-NGAN A.M.C. CO., LTD.",บริษัท สำนักงาน เอ เอ็ม ซี จำกัด,2740000,,,,2740000,,"2,730,000,000.00","265,000,000.00"
ACC,บริษัท แอดวานซ์ คอนเนคชั่น คอร์ปอเรชั่น จำกัด (มหาชน),SET,ทรัพยากร,พลังงานและสาธารณูปโภค,KARIN AUDIT COMPANY LIMITED,ไม่ระบุในแหล่งข้อมูล,,,,,,,"630,000,000.00","160,000,000.00"
ACE,บริษัท แอ๊บโซลูท คลีน เอ็นเนอร์จี้ จำกัด (มหาชน),SET,ทรัพยากร,พลังงานและสาธารณูปโภค,PRICEWATERHOUSE COOPERS ABAS LIMITED,บริษัท ไพร้ซวอเตอร์เฮาส์คูเปอร์ส เอบีเอเอส จ ากัด และบริษัท ทีพีดับบลิว ออดิท แอนด์ แอ๊ดไวเซอรี่ เซอร์วิสเซส จ ากัด,2200000,12620000,0,0,14820000,0,"25,700,000,000.00","6,550,000,000.00"
ACG,บริษัท ออโตคอร์ป โฮลดิ้ง จำกัด (มหาชน),SET,สินค้าอุตสาหกรรม,ยานยนต์,KPMG PHOOMCHAI AUDIT LIMITED,บริษัท เคพีเอ็มจี ภูมิไชย สอบบัญชี จำกัด,,,,,3150000,,"1,250,000,000.00","1,500,000,000.00"
ADB,บริษัท แอ็พพลาย ดีบี จำกัด (มหาชน),mai,สินค้าอุตสาหกรรม,-,"D I A INTERNATIONAL AUDIT CO.,LTD.",บริษัท สอบบัญชี ดี ไอ เอ อินเตอร์เนชั่นแนล จำกัด,"1,470,000.00","125,000.00",,,"1,595,000.00",,"920,000,000.00","833,000,000.00"
ADD,บริษัท แอดเทค ฮับ จำกัด (มหาชน),mai,บริการ,-,PRICEWATERHOUSE COOPERS ABAS LIMITED,บริษัท ไพร้ซวอเตอร์เฮาส์คูเปอร์ส เอบีเอเอส จำกัด,"4,854,740.00",,0,0,"4,854,740.00",0,"639,000,000.00","374,000,000.00"
ADVANC,บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน),SET,เทคโนโลยี,เทคโนโลยีสารสนเทศและการสื่อสาร,KPMG PHOOMCHAI AUDIT LIMITED,บริษัท เคพีเอ็มจี ภูมิไชย สอบบัญชี จำกัด,"2,250,000.00","12,125,000.00","46,000.00","2,596,800.00","14,375,000.00","2,642,800.00","420,000,000,000.00","226,000,000,000.00"
ADVICE,บริษัท แอดไวซ์ ไอที อินฟินิท จำกัด (มหาชน),SET,บริการ,พาณิชย์,EY OFFICE LIMITED,บริษัท สำนักงาน อีวาย จำกัด,"5,150,000.00",,"240,000.00",,"5,150,000.00","240,000.00","3,790,000,000.00","16,600,000,000.00"
AE,บริษัท ออลล์ เอ็นเนอร์ยี่ แอนด์ ยูทิลิตี้ จำกัด (มหาชน),SET,ทรัพยากร,พลังงานและสาธารณูปโภค,PRICEWATERHOUSE COOPERS ABAS LIMITED,บริษัท พีดับบลิวซี แอดไวเซอรี่ เซอร์วิสเซ็ส (ประเทศไทย) จำกัด,"2,503,000.00","480,001.00","-242,467.63","27,741.00","2,183,000.00","-260,960.96","3,590,000,000.00","1,130,000,000.00"
AEONTS,บริษัท อิออน ธนสินทรัพย์ (ไทยแลนด์) จำกัด (มหาชน),SET,ธุรกิจการเงิน,เงินทุนและหลักทรัพย์,"DELOITTE TOUCHE TOHMATSU JAIYOS AUDIT CO., LTD.",บริษัท ดีลอยท์ ทู้ช โธมัทสุ ไชยยศ สอบบัญชี จำกัด,"2,778,000.00",,-424318.3467,,"2,218,000.00",-456681.68,"88,300,000,000.00","17,300,000,000.00"
AF,บริษัท ไอร่า แฟคตอริ่ง จำกัด (มหาชน),mai,ธุรกิจการเงิน,-,EY OFFICE LIMITED,บริษัท สำนักงาน อีวาย จำกัด,"3,053,000.00",,-606169.0667,,"2,253,000.00",-652402.4,"2,760,000,000.00","248,000,000.00"
AFC,บริษัท เอเซียไฟเบอร์ จำกัด (มหาชน),SET,สินค้าอุปโภคบริโภค,แฟชั่น,C&A AUDIT OFFICE COMPANY LIMITED,บริษัท สำนักงานสอบบัญชี ซี แอนด์ เอ จำกัด,,,,,,,"1,440,000,000.00","637,000,000.00"
AGE,บริษัท เอเชีย กรีน เอนเนอจี จำกัด (มหาชน),SET,ทรัพยากร,พลังงานและสาธารณูปโภค,EY OFFICE LIMITED,บริษัท สำนักงาน อีวาย จำกัด และ บริษัท ภูมิไทย สอบบัญชี จำกัด,"1,917,000",,160000,,"3,280,500",160000,"8,310,000,000.00","15,300,000,000.00"
AH,บริษัท อาปิโก ไฮเทค จำกัด (มหาชน),SET,สินค้าอุตสาหกรรม,ยานยนต์,EY OFFICE LIMITED,บริษัท สำนักงาน อีวาย จำกัด,"1,913,000.00",,"240,000.00",,"3,399,200.00","240,000.00","23,200,000,000.00","25,800,000,000.00"
AHC,บริษัท โรงพยาบาลเอกชล จำกัด (มหาชน),SET,บริการ,การแพทย์,"DHARMNITI AUDITING CO., LTD.",บริษัท สอบบัญชีธรรมนิติ จำกัด,1909000,-1296000,,,3517900,,"2,530,000,000.00","1,800,000,000.00"
AI,บริษัท เอเชียน อินซูเลเตอร์ จำกัด (มหาชน),SET,ทรัพยากร,พลังงานและสาธารณูปโภค,SIAM TRUTH AUDIT COMPANY LIMITED,บริษัท สยาม ทรูธ สอบบัญชี จำกัด,"1,905,000.00","-3,819,000.00",1,1,"3,636,600.00",1,"3,650,000,000.00","8,160,000,000.00"
AIE,บริษัท เอไอ เอนเนอร์จี จำกัด (มหาชน),SET,ทรัพยากร,พลังงานและสาธารณูปโภค,SIAM TRUTH AUDIT COMPANY LIMITED,บริษัท สยาม ทรูธ สอบบัญชี จำกัด,1901000,,,,3755300,,"2,480,000,000.00","7,640,000,000.00"
AIMCG,ทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์และสิทธิการเช่าอสังหาริมทรัพย์ เอไอเอ็ม คอมเมอร์เชียล โกรท,SET,อสังหาริมทรัพย์และก่อสร้าง,กองทุนรวมอสังหาริมทรัพย์และกองทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์,"GRANT THORNTON CO., LTD.",บริษัท แกรนท์ ธอนตัน จำกัด,,,,,,,"2,810,000,000.00","259,000,000.00"
AIMIRT,ทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์และสิทธิการเช่าอสังหาริมทรัพย์ เอไอเอ็ม อินดัสเทรียล โกรท,SET,อสังหาริมทรัพย์และก่อสร้าง,กองทุนรวมอสังหาริมทรัพย์และกองทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์,EY OFFICE LIMITED,บริษัท สำนักงาน อีวาย จำกัด,2200001,12620001,1,1,6182597.333,1,"15,400,000,000.00","1,090,000,000.00"
AIRA,บริษัท ไอร่า แคปปิตอล จำกัด (มหาชน),mai,ธุรกิจการเงิน,-,EY OFFICE LIMITED,ไม่ระบุในแหล่งข้อมูล,,,,,5856447.048,,"9,490,000,000.00","1,010,000,000.00"
AIT,บริษัท แอ็ดวานซ์อินฟอร์เมชั่นเทคโนโลยี จำกัด (มหาชน),SET,เทคโนโลยี,เทคโนโลยีสารสนเทศและการสื่อสาร,EY OFFICE LIMITED,บริษัท สำนักงาน อีวาย จำกัด,"5,540,000.00","125,001.00",,,"5,530,296.76",,"6,540,000,000.00","6,740,000,000.00"
AJ,บริษัท เอ.เจ.พลาสท์ จำกัด (มหาชน),SET,สินค้าอุตสาหกรรม,บรรจุภัณฑ์,DR.VIRACH AND ASSOCIATES,บริษัท สำนักงาน ดร. วิรัช แอนด์ แอสโซซิเอทส์ จำกัด,"6,383,526.00",,335333.3333,5193600,"5,204,146.48",1200933.333,"13,700,000,000.00","7,830,000,000.00"
AJA,บริษัท เอเจ แอดวานซ์ เทคโนโลยี จำกัด (มหาชน),SET,สินค้าอุปโภคบริโภค,ของใช้ในครัวเรือนและสำนักงาน,KARIN AUDIT COMPANY LIMITED,บริษัท กรินทร์ ออดิท จำกัด,"7,227,052.00","12,125,001.00","455,333.33","7,790,400.00","4,877,996.19","1,320,933.33","634,000,000.00","160,000,000.00"
AKP,บริษัท อัคคีปราการ จำกัด (มหาชน),mai,บริการ,-,KARIN AUDIT COMPANY LIMITED,บริษัท กรินทร์ ออดิท จำกัด,"8,070,578.00",,"575,333.33",,"4,551,845.90","1,440,933.33","809,000,000.00","397,000,000.00"
AKR,บริษัท เอกรัฐวิศวกรรม จำกัด (มหาชน),SET,สินค้าอุตสาหกรรม,วัสดุอุตสาหกรรมและเครื่องจักร,"ANS AUDIT CO., LTD.",บริษัท เอเอ็นเอส ออดิท จำกัด,"3,328,000.00","480,002.00","-788,019.79","27,742.00","2,288,000.00","-848,123.12","2,190,000,000.00","1,920,000,000.00"
AKS,บริษัท เอเคเอส คอร์ปอเรชั่น จำกัด (มหาชน),SET,อสังหาริมทรัพย์และก่อสร้าง,พัฒนาอสังหาริมทรัพย์,KARIN AUDIT COMPANY LIMITED,บริษัท กรินทร์ ออดิท จำกัด,"3,603,000.00",,-969870.5067,,"2,323,000.00",-1043843.84,"4,410,000,000.00","471,000,000.00"
ALLA,บริษัท ออลล่า จำกัด (มหาชน),SET,สินค้าอุตสาหกรรม,วัสดุอุตสาหกรรมและเครื่องจักร,EY OFFICE LIMITED,บริษัท สำนักงาน อีวาย จำกัด,"3,878,000.00",,-1151721.227,,"2,358,000.00",-1239564.56,"1,190,000,000.00","710,000,000.00"
ALLY,ทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์และสิทธิการเช่าอสังหาริมทรัพย์ อัลไล,SET,อสังหาริมทรัพย์และก่อสร้าง,กองทุนรวมอสังหาริมทรัพย์และกองทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์,,บริษัท เคพีเอ็มจี ภูมิไชย สอบบัญชี จำกัด,,,,,,,"13,600,000,000.00","1,490,000,000.00"
ALPHAX,บริษัท อัลฟ่า ดิวิชั่นส์ จำกัด (มหาชน),mai,ทรัพยากร,-,"D I A INTERNATIONAL AUDIT CO.,LTD.",บริษัท สอบบัญชี ดี ไอ เอ อินเตอร์เนชั่นแนล จำกัด,"1,897,000",,320000,,"3,874,000",320000,"6,020,000,000.00","337,000,000.00"
ALT,บริษัท เอแอลที เทเลคอม จำกัด (มหาชน),SET,เทคโนโลยี,เทคโนโลยีสารสนเทศและการสื่อสาร,PRICEWATERHOUSE COOPERS ABAS LIMITED,บริษัท ไพร้ซวอเตอร์เฮาส์คูเปอร์ส เอบีเอเอส จำกัด,"1,893,000.00",,"400,000.00",,"3,992,700.00","400,000.00","4,300,000,000.00","1,500,000,000.00"
ALUCON,บริษัท อลูคอน จำกัด (มหาชน),SET,สินค้าอุตสาหกรรม,บรรจุภัณฑ์,KPMG PHOOMCHAI AUDIT LIMITED,บริษัท เคพีเอ็มจี ภูมิไชย สอบบัญชี จำกัด,1889000,-6342000,,,4111400,,"8,480,000,000.00","6,910,000,000.00"
AMA,บริษัท อาม่า มารีน จำกัด (มหาชน),mai,บริการ,-,"D I A INTERNATIONAL AUDIT CO.,LTD.",บริษัท สอบบัญชี ดี ไอ เอ อินเตอร์เนชั่นแนล จำกัด,"1,885,000.00","-8,865,000.00",2,2,"4,230,100.00",2,"4,240,000,000.00","2,930,000,000.00"
AMANAH,บริษัท อะมานะฮ์ ลิสซิ่ง จำกัด (มหาชน),SET,ธุรกิจการเงิน,เงินทุนและหลักทรัพย์,PRICEWATERHOUSE COOPERS ABAS LIMITED,บริษัท ไพร้ซวอเตอร์เฮาส์คูเปอร์ส เอบีเอเอส จำกัด,1881000,,,,4348800,,"4,070,000,000.00","743,000,000.00"
AMARC,บริษัท ศูนย์ห้องปฏิบัติการและวิจัยทางการแพทย์และการเกษตรแห่งเอเซีย จำกัด (มหาชน),mai,บริการ,-,"DHARMNITI AUDITING CO., LTD.",บริษัท สอบบัญชีธรรมนิติ จำกัด,,,,,,,"705,000,000.00","491,000,000.00"
AMARIN,บริษัท อมรินทร์ คอร์เปอเรชั่นส์ จำกัด (มหาชน),SET,บริการ,สื่อและสิ่งพิมพ์,KPMG PHOOMCHAI AUDIT LIMITED,บริษัท เคพีเอ็มจี ภูมิไชย สอบบัญชี จำกัด,2200002,12620002,2,2,4225695.619,2,"5,840,000,000.00","3,740,000,000.00"
AMATA,บริษัท อมตะ คอร์ปอเรชัน จำกัด (มหาชน),SET,อสังหาริมทรัพย์และก่อสร้าง,พัฒนาอสังหาริมทรัพย์,PRICEWATERHOUSE COOPERS ABAS LIMITED,บริษัท ไพรซ์วอเตอร์เฮาส์คูเปอร์ส เอบีเอเอส จำกัด,,,,,3899545.333,,"69,700,000,000.00","14,300,000,000.00"
AMATAR,ทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์และสิทธิการเช่าอมตะซัมมิทโกรท,SET,อสังหาริมทรัพย์และก่อสร้าง,กองทุนรวมอสังหาริมทรัพย์และกองทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์,PRICEWATERHOUSE COOPERS ABAS LIMITED,บริษัท ไพร้ซวอเตอร์เฮาส์คูเปอร์ส เอบีเอเอส จำกัด,"8,914,104.00","125,002.00",,,"3,573,395.05",,"4,670,000,000.00","418,000,000.00"
AMATAV,บริษัท อมตะ วีเอ็น จำกัด (มหาชน),SET,อสังหาริมทรัพย์และก่อสร้าง,พัฒนาอสังหาริมทรัพย์,PRICEWATERHOUSE COOPERS ABAS LIMITED,บริษัท ไพร้ซวอเตอร์เฮาส์คูเปอร์ส เอบีเอเอส จำกัด,"9,757,630.00",,695333.3333,10387200,"3,247,244.76",1560933.333,"13,600,000,000.00","3,960,000,000.00"
AMC,บริษัท เอเซีย เมทัล จำกัด (มหาชน),SET,สินค้าอุตสาหกรรม,เหล็ก และ ผลิตภัณฑ์โลหะ,KPMG PHOOMCHAI AUDIT LIMITED,บริษัท เคพีเอ็มจี ภูมิไชย สอบบัญชี จำกัด,"10,601,156.00","12,125,002.00","815,333.33","12,984,000.00","2,921,094.48","1,680,933.33","5,170,000,000.00","6,140,000,000.00"
AMR,บริษัท เอเอ็มอาร์ เอเซีย จำกัด (มหาชน),SET,เทคโนโลยี,เทคโนโลยีสารสนเทศและการสื่อสาร,PRICEWATERHOUSE COOPERS ABAS LIMITED,บริษัท ไพร้ซวอเตอร์เฮาส์คูเปอร์ส เอบีเอเอส จำกัด,"11,444,682.00",,"935,333.33",,"2,594,944.19","1,800,933.33","1,470,000,000.00","637,000,000.00"
ANAN,บริษัท อนันดา ดีเวลลอปเม้นท์ จำกัด (มหาชน),SET,อสังหาริมทรัพย์และก่อสร้าง,พัฒนาอสังหาริมทรัพย์,EY OFFICE LIMITED,บริษัท สำนักงาน อีวาย จำกัด,"4,153,000.00","480,003.00","-1,333,571.95","27,743.00","2,393,000.00","-1,435,285.28","28,800,000,000.00","5,630,000,000.00"
ANI,บริษัท เอเชีย เน็ตเวิร์ค อินเตอร์เนชั่นแนล จำกัด (มหาชน),SET,บริการ,ขนส่งและโลจิสติกส์,PRICEWATERHOUSE COOPERS ABAS LIMITED,บริษัท ไพร้ซวอเตอร์เฮาส์คูเปอร์ส เอบีเอเอส จำกัด,"4,428,000.00",,-1515422.667,,"2,428,000.00",-1631006,"9,690,000,000.00","7,410,000,000.00"
AOT,บริษัท ท่าอากาศยานไทย จำกัด (มหาชน),SET,บริการ,ขนส่งและโลจิสติกส์,KPMG PHOOMCHAI AUDIT LIMITED,บริษัท สำนักงาน อีวาย จำกัด,"4,703,000.00",,-1697273.387,,"2,463,000.00",-1826726.72,"210,000,000,000.00","66,700,000,000.00"
AP,บริษัท เอพี (ไทยแลนด์) จำกัด (มหาชน),SET,อสังหาริมทรัพย์และก่อสร้าง,พัฒนาอสังหาริมทรัพย์,EY OFFICE LIMITED,บริษัท สำนักงาน อีวาย จำกัด,,,,,,,"85,700,000,000.00","37,300,000,000.00"
APCO,บริษัท เอเชียน ไฟย์โตซูติคอลส์ จำกัด (มหาชน),SET,สินค้าอุปโภคบริโภค,ของใช้ส่วนตัวและเวชภัณฑ์,"AST MASTER CO., LTD.",บริษัท เอเอสที มาสเตอร์ จำกัด,"1,877,000",,480000,,"4,467,500",480000,"628,000,000.00","200,000,000.00"
APCS,บริษัท เอเซีย พรีซิชั่น จำกัด (มหาชน),SET,อสังหาริมทรัพย์และก่อสร้าง,บริการรับเหมาก่อสร้าง,"D I A INTERNATIONAL AUDIT CO.,LTD.",บริษัท สอบบัญชี ดี ไอ เอ อินเตอร์เนชั่นแนล จำกัด,"1,873,000.00",,"560,000.00",,"4,586,200.00","560,000.00","2,650,000,000.00","914,000,000.00"
APO,บริษัท เอเชียนน้ำมันปาล์ม จำกัด (มหาชน),mai,เกษตรและอุตสาหกรรมอาหาร,-,KARIN AUDIT COMPANY LIMITED,บริษัท กรินทร์ ออดิท จำกัด,"1,020,000.00",,0,,"1,020,000.00",0,"539,000,000.00","2,100,000,000.00"
APP,บริษัท แอพพลิแคด จำกัด (มหาชน),mai,เทคโนโลยี,-,KARIN AUDIT COMPANY LIMITED,บริษัท กรินทร์ ออดิท จำกัด,2000000,,77000,,2000000,77000,"982,000,000.00","1,100,000,000.00"
APURE,บริษัท อกริเพียว โฮลดิ้งส์ จำกัด (มหาชน),SET,เกษตรและอุตสาหกรรมอาหาร,อาหารและเครื่องดื่ม,"DHARMNITI AUDITING CO., LTD.",บริษัท สอบบัญชีธรรมนิติ จำกัด,710000,1310000,59058,114487,2020000,173545,"2,600,000,000.00","1,950,000,000.00"
AQUA,บริษัท อควา คอร์เปอเรชั่น จำกัด (มหาชน),SET,บริการ,สื่อและสิ่งพิมพ์,NPS SIAM AUDIT LIMITED.,บริษัท เอ็นพีเอส สยาม สอบบัญชี จำกัด,0,13673380,167773,0,13673380,167773,"8,250,000,000.00","1,000,000,000.00"
ARIN,บริษัท อรินสิริ แลนด์ จำกัด (มหาชน),mai,อสังหาริมทรัพย์และก่อสร้าง,-,KARIN AUDIT COMPANY LIMITED,บริษัท กรินทร์ ออดิท จำกัด,"1,000,000.00",,"29,065.00",,"1,000,000.00","29,065.00","797,000,000.00","57,480,000.00"
ARIP,บริษัท เออาร์ไอพี จำกัด (มหาชน),mai,บริการ,-,EY OFFICE LIMITED,บริษัท สำนักงาน อีวาย จำกัด,"1,275,000.00",,0,,"1,275,000.00",0,"280,000,000.00","255,000,000.00"
ARROW,บริษัท แอร์โรว์ ซินดิเคท จำกัด (มหาชน),mai,อสังหาริมทรัพย์และก่อสร้าง,-,"ANS AUDIT CO., LTD.",บริษัท เอเอ็นเอส ออดิท จำกัด,1035000,955000,168740,109520,1990000,278260,"1,640,000,000.00","1,190,000,000.00"
AS,บริษัท แอสเฟียร์ อินโนเวชั่นส์ จำกัด (มหาชน),SET,บริการ,สื่อและสิ่งพิมพ์,FORVIS MAZARS COMPANY LIMITED,บริษัท มาซาร์ส จำกัด,"2,226,820",,0,,"2,226,820",0,"1,780,000,000.00","1,220,000,000.00"
ASAP,บริษัท ซินเนอร์เจติค ออโต้ เพอร์ฟอร์มานซ์ จำกัด (มหาชน),SET,ธุรกิจการเงิน,เงินทุนและหลักทรัพย์,SIAM TRUTH AUDIT COMPANY LIMITED,บริษัท สยาม ทรูธ สอบบัญชี จำกัด,"1,760,000",,"388,609",,"1,760,000","388,609","7,460,000,000.00","8,630,000,000.00"
ASEFA,บริษัท อาซีฟา จำกัด (มหาชน),SET,สินค้าอุตสาหกรรม,วัสดุอุตสาหกรรมและเครื่องจักร,"ANS AUDIT CO., LTD.",บริษัท เอเอ็นเอส ออดิท จำกัด,3630000,0,0,0,3630000,0,"4,440,000,000.00","3,310,000,000.00"
ASIA,บริษัท เอเชียโฮเต็ล จำกัด (มหาชน),SET,บริการ,การท่องเที่ยวและสันทนาการ,"ANS AUDIT CO., LTD.",บริษัท เอเอ็นเอส ออดิท จำกัด,1670000,4131000,,,5801000,,"10,300,000,000.00","1,360,000,000.00"
ASIAN,บริษัท เอเชี่ยนซี คอร์ปอเรชั่น จำกัด (มหาชน),SET,เกษตรและอุตสาหกรรมอาหาร,อาหารและเครื่องดื่ม,EY OFFICE LIMITED,บริษัท สำนักงาน อีวาย จำกัด,"6,010,000.00",,"240,000.00",,"6,010,000.00","240,000.00","8,900,000,000.00","10,800,000,000.00"
ASIMAR,บริษัท เอเชียน มารีน เซอร์วิสส์ จำกัด (มหาชน),SET,บริการ,ขนส่งและโลจิสติกส์,"DHARMNITI AUDITING CO., LTD.",บริษัท สอบบัญชีธรรมนิติ จำกัด,"1,345,000.00",,,,"1,345,000.00",0,"882,000,000.00","920,000,000.00"
ASK,บริษัท เอเซียเสริมกิจลีสซิ่ง จำกัด (มหาชน),SET,ธุรกิจการเงิน,เงินทุนและหลักทรัพย์,EY OFFICE LIMITED,บริษัท สำนักงาน อีวาย จำกัด,"2,240,000",,"23,679",,"2,240,000","23,679","61,300,000,000.00","5,170,000,000.00"
ASN,บริษัท เอเอสเอ็น โบรกเกอร์ จำกัด (มหาชน),mai,ธุรกิจการเงิน,-,KPMG PHOOMCHAI AUDIT LIMITED,บริษัท เคพีเอ็มจี ภูมิไชย สอบบัญชี จำกัด,"2,450,000.00",,0,,"2,450,000.00",0,"565,000,000.00","159,000,000.00"
ASP,บริษัท เอเซีย พลัส กรุ๊ป โฮลดิ้งส์ จำกัด (มหาชน),SET,ธุรกิจการเงิน,เงินทุนและหลักทรัพย์,EY OFFICE LIMITED,บริษัท สำนักงาน อีวาย จำกัด,1469000,3101000,0,0,4570000,0,"9,280,000,000.00","1,960,000,000.00"
ASW,บริษัท แอสเซทไวส์ จำกัด (มหาชน),SET,อสังหาริมทรัพย์และก่อสร้าง,พัฒนาอสังหาริมทรัพย์,EY OFFICE LIMITED,บริษัท สำนักงาน อีวาย จำกัด,"1,470,000","7,150,000",,,"8,620,000",,"40,200,000,000.00","9,230,000,000.00"
ATLAS,บริษัท แอตลาส เอ็นเนอยี จำกัด (มหาชน),SET,ทรัพยากร,พลังงานและสาธารณูปโภค,PRICEWATERHOUSE COOPERS ABAS LIMITED,บริษัท ไพร้ซวอเตอร์เฮาส์คูเปอร์ส เอบีเอเอส จำกัด,"1,740,000.00",,0,,"1,740,000.00",0,"9,150,000,000.00","11,600,000,000.00"
ATP30,บริษัท เอทีพี 30 จำกัด (มหาชน),mai,บริการ,-,EY OFFICE LIMITED,บริษัท สำนักงาน อีวาย จำกัด,"1,450,000.00",,0,,"1,450,000.00",0,"1,240,000,000.00","804,000,000.00"
AU,บริษัท อาฟเตอร์ ยู จำกัด (มหาชน),mai,เกษตรและอุตสาหกรรมอาหาร,-,EY OFFICE LIMITED,บริษัท สำนักงาน อีวาย จำกัด,2020000,507570,85000,74882,2527570,159882,"1,520,000,000.00","1,620,000,000.00"
AUCT,บริษัท สหการประมูล จำกัด (มหาชน),mai,บริการ,-,EY OFFICE LIMITED,บริษัท สำนักงาน อีวาย จำกัด,"2,000,000.00",,0,,"2,000,000.00",0,"1,810,000,000.00","1,010,000,000.00"
AURA,บริษัท ออโรร่า ดีไซน์ จำกัด (มหาชน),SET,สินค้าอุปโภคบริโภค,แฟชั่น,PRICEWATERHOUSE COOPERS ABAS LIMITED,N/A,,,,,,,"24,100,000,000.00","39,900,000,000.00"
AWC,บริษัท แอสเสท เวิรด์ คอร์ป จำกัด (มหาชน),SET,อสังหาริมทรัพย์และก่อสร้าง,พัฒนาอสังหาริมทรัพย์,KPMG PHOOMCHAI AUDIT LIMITED,บริษัท เคพีเอ็มจี ภูมิไชย สอบบัญชี จำกัด,3585000,17509300,,,21094300,2500000,"204,000,000,000.00","17,400,000,000.00"
AXTRART,ทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์และสิทธิการเช่า แอ็กซ์ตร้า ฟิวเจอร์ ซิตี้,SET,อสังหาริมทรัพย์และก่อสร้าง,กองทุนรวมอสังหาริมทรัพย์และกองทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์,,บริษัท เคพีเอ็มจี ภูมิไชย สอบบัญชี จำกัด,"1,700,000.00",,"189,000.00",,"1,700,000.00","189,000.00","33,000,000,000.00","2,760,000,000.00"
AYUD,บริษัท อลิอันซ์ อยุธยา แคปปิตอล จำกัด (มหาชน),SET,ธุรกิจการเงิน,ประกันภัยและประกันชีวิต,PRICEWATERHOUSE COOPERS ABAS LIMITED,บริษัท ไพร้ซวอเตอร์เฮ้าส์ คูเปอร์ส เอบีเอเอส จำกัด,2720000,9260000,0,3140000,11980000,3140000,"23,700,000,000.00","12,300,000,000.00"
B,บริษัท บี จิสติกส์ จำกัด (มหาชน),SET,บริการ,ขนส่งและโลจิสติกส์,A.M.T. & ASSOCIATES,สำนักงาน เอ. เอ็ม. ที. แอสโซซิเอท,,,,,"6,006,000.00",0,"5,610,000,000.00","500,000,000.00"
