Symbol,Company,Market,Industry,Sector,Auditor,Auditor_Original,Audit_fee,Audit_fee(Sub),Other_fee,Other_fee(Sub),Totat_audit_fee,Totat_other_fee,รวมสินทรัพย์,รายได้จากการดำเนินงาน
STPI,บริษัท เอสทีพี แอนด์ ไอ จำกัด (มหาชน),SET,อสังหาริมทรัพย์และก่อสร้าง,บริการรับเหมาก่อสร้าง,EY OFFICE LIMITED,บริษัท สำนักงาน อีวาย จำกัด,1900000,4732373,943400,480000,6632373,1423400,"15,200,000,000.00","3,410,000,000.00"
STX,บริษัท สโตนวัน จำกัด (มหาชน),mai,อสังหาริมทรัพย์และก่อสร้าง,-,PRICEWATERHOUSE COOPERS ABAS LIMITED,บริษัท ไพร้ซวอเตอร์เฮาส์คูเปอร์ส เอบีเอเอส จำกัด,2450000,1250500,33800,11200,3700500,45000,"1,120,000,000.00","375,000,000.00"
SUC,บริษัท สหยูเนี่ยน จำกัด (มหาชน),SET,สินค้าอุปโภคบริโภค,แฟชั่น,EY OFFICE LIMITED,บริษัท สำนักงาน อีวาย จำกัด,"2,350,000","6,586,000","834,281","55,000","8,936,000","889,281","28,700,000,000.00","7,770,000,000.00"
SUN,บริษัท ซันสวีท จำกัด (มหาชน),SET,เกษตรและอุตสาหกรรมอาหาร,อาหารและเครื่องดื่ม,KPMG PHOOMCHAI AUDIT LIMITED,บริษัท เคพีเอ็มจี ภูมิไชย สอบบัญชี จำกัด,2400000,200000,450000,,2600000,900000,"2,130,000,000.00","3,590,000,000.00"
SUPER,บริษัท ซุปเปอร์ เอนเนอร์ยี คอร์เปอเรชั่น จำกัด (มหาชน),SET,ทรัพยากร,พลังงานและสาธารณูปโภค,"DELOITTE TOUCHE TOHMATSU JAIYOS AUDIT CO., LTD.",บริษัท ดีลอยท์ ทู้ช โธมัทสุ ไชยยศ สอบบัญชี จำกัด,"1,300,000","25,459,905.44","550,000",,"26,759,905.44","550,000","67,700,000,000.00","8,080,000,000.00"
SUPEREIF,กองทุนรวมโครงสร้างพื้นฐานโรงไฟฟ้า ซุปเปอร์ เอนเนอร์ยี,SET,ทรัพยากร,พลังงานและสาธารณูปโภค,EY OFFICE LIMITED,บริษัท สำนักงาน อีวาย จำกัด,"1,020,000.00",,,,"1,020,000.00",0,,
SUSCO,บริษัท ซัสโก้ จำกัด (มหาชน),SET,ทรัพยากร,พลังงานและสาธารณูปโภค,"DHARMNITI AUDITING CO., LTD.",บริษัท สอบบัญชีธรรมนิติ จำกัด,1609000,1397500,,,3006500,,"9,730,000,000.00","30,700,000,000.00"
SUTHA,บริษัท สุธากัญจน์ จำกัด (มหาชน),SET,สินค้าอุตสาหกรรม,ปิโตรเคมีและเคมีภัณฑ์,"ANS AUDIT CO., LTD.",บริษัท เอเอ็นเอส ออดิท จำกัด,1480000,565000,,,2045000,,"2,220,000,000.00","1,300,000,000.00"
SVI,บริษัท เอสวีไอ จำกัด (มหาชน),SET,เทคโนโลยี,ชิ้นส่วนอิเล็กทรอนิกส์,EY OFFICE LIMITED,บริษัท สำนักงาน อีวาย จำกัด,3100000,9076433,250000,,12176433,250000,"14,600,000,000.00","18,300,000,000.00"
SVOA,บริษัท เอสวีโอเอ จำกัด (มหาชน),SET,เทคโนโลยี,เทคโนโลยีสารสนเทศและการสื่อสาร,EY OFFICE LIMITED,บริษัท สำนักงาน อีวาย จำกัด,"2,650,000.00",,,,"2,650,000.00",0,"7,220,000,000.00","8,170,000,000.00"
